"source","category_code","category_path","unmapped_products_count"
wolt,СЕКС ИГРУШКИ ДЛЯ МУЖЧИН / Мастурбаторы для мужчин,СЕКС ИГРУШКИ ДЛЯ МУЖЧИН / Мастурбаторы для мужчин,3000
wolt,"ПРЕЗЕРВАТИВЫ, ГИГИЕНА, ТОЙ-КЛИНЕРЫ / Презервативы ","ПРЕЗЕРВАТИВЫ, ГИГИЕНА, ТОЙ-КЛИНЕРЫ / Презервативы ",3000
wolt,СЕКС ИГРУШКИ ДЛЯ ЖЕНЩИН / Фаллоимитаторы,СЕКС ИГРУШКИ ДЛЯ ЖЕНЩИН / Фаллоимитаторы,3000
wolt,ЧАЙ И КОФЕ ☕️ / Черный чай,ЧАЙ И КОФЕ ☕️ / Черный чай,2957
wolt,Дом и офис / Вечеринка и декор,Дом и офис / Вечеринка и декор,2953
wolt,КОНСЕРВЫ 🥫,КОНСЕРВЫ 🥫,2944
wolt,СЕКС ИГРУШКИ ДЛЯ ДВОИХ / Анальные игрушки,СЕКС ИГРУШКИ ДЛЯ ДВОИХ / Анальные игрушки,2916
wolt,СЕКС ИГРУШКИ ДЛЯ МУЖЧИН / Насадки на член,СЕКС ИГРУШКИ ДЛЯ МУЖЧИН / Насадки на член,2908
wolt,ИНТИМНЫЕ СМАЗКИ / Увлажняющие смазки,ИНТИМНЫЕ СМАЗКИ / Увлажняющие смазки,2906
wolt,ВОЗБУЖДАЮЩИЕ СРЕДСТВА / Возбудители для мужчин,ВОЗБУЖДАЮЩИЕ СРЕДСТВА / Возбудители для мужчин,2897
wolt,СЕКС ИГРУШКИ ДЛЯ ЖЕНЩИН / Стимуляторы клитора,СЕКС ИГРУШКИ ДЛЯ ЖЕНЩИН / Стимуляторы клитора,2848
wolt,ЗАБОЛЕВАНИЯ ЭНДОКРИННОЙ СИСТЕМЫ,ЗАБОЛЕВАНИЯ ЭНДОКРИННОЙ СИСТЕМЫ,2842
wolt,ПРИМЕЧАНИЕ❗️,ПРИМЕЧАНИЕ❗️,2825
wolt,ИНТИМНЫЕ СМАЗКИ / Лубриканты для орального секса,ИНТИМНЫЕ СМАЗКИ / Лубриканты для орального секса,2808
wolt,ИНТИМНЫЕ СМАЗКИ / Лубриканты возбуждающие,ИНТИМНЫЕ СМАЗКИ / Лубриканты возбуждающие,2806
wolt,НАПИТКИ 🧃,НАПИТКИ 🧃,2802
wolt,БЫТОВАЯ ХИМИЯ И КОСМЕТИКА 🧼,БЫТОВАЯ ХИМИЯ И КОСМЕТИКА 🧼,2802
wolt,СЕКС ИГРУШКИ ДЛЯ ДВОИХ / Страпоны,СЕКС ИГРУШКИ ДЛЯ ДВОИХ / Страпоны,2778
wolt,СРЕДСТВА ГИГИЕНЫ🪥 / Женская гигиена,СРЕДСТВА ГИГИЕНЫ🪥 / Женская гигиена,2768
wolt,СЕКСУАЛЬНЫЕ ПОДАРКИ / Подарки,СЕКСУАЛЬНЫЕ ПОДАРКИ / Подарки,2765
wolt,БАД,БАД,2764
wolt,ИГРУШКИ БДСМ / Наручники БДСМ,ИГРУШКИ БДСМ / Наручники БДСМ,2730
wolt,Дом и офис / Дача и сад,Дом и офис / Дача и сад,2718
wolt,"ЭРОТИЧЕСКОЕ БЕЛЬЕ / Чулки, пояса и колготки для секса","ЭРОТИЧЕСКОЕ БЕЛЬЕ / Чулки, пояса и колготки для секса",2709
wolt,СНЕКИ 🥜,СНЕКИ 🥜,2700
wolt,СЛАДОСТИ И СНЕКИ 🍫,СЛАДОСТИ И СНЕКИ 🍫,2700
wolt,ВИСКИ🥃 / Виски,ВИСКИ🥃 / Виски,2700
wolt,"ЧАИ, КОФЕ, КАКАО ☕️","ЧАИ, КОФЕ, КАКАО ☕️",2700
wolt,БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ🥤 / Напитки,БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ🥤 / Напитки,2700
wolt,"СЛАДОСТИ(Мармелад,маршлмелоу)","СЛАДОСТИ(Мармелад,маршлмелоу)",2700
wolt,ИНТИМНЫЕ СМАЗКИ / Женские духи с феромонами,ИНТИМНЫЕ СМАЗКИ / Женские духи с феромонами,2682
wolt,ТОВАРЫ ДЛЯ ДЕТЕЙ 👶🏻,ТОВАРЫ ДЛЯ ДЕТЕЙ 👶🏻,2677
wolt,РОЗЫ 🌹,РОЗЫ 🌹,2676
wolt,КРЕПКИЙ АЛКОГОЛЬ 🥃,КРЕПКИЙ АЛКОГОЛЬ 🥃,2664
wolt,ЭРОТИЧЕСКОЕ БЕЛЬЕ / Эротическое белье,ЭРОТИЧЕСКОЕ БЕЛЬЕ / Эротическое белье,2662
wolt,ЭРОТИЧЕСКОЕ БЕЛЬЕ / Эротическое белье с доступом,ЭРОТИЧЕСКОЕ БЕЛЬЕ / Эротическое белье с доступом,2656
wolt,ЭРОТИЧЕСКОЕ БЕЛЬЕ / Трусики для секса,ЭРОТИЧЕСКОЕ БЕЛЬЕ / Трусики для секса,2655
wolt,СЕКС ИГРУШКИ ДЛЯ МУЖЧИН / Кольца для члена,СЕКС ИГРУШКИ ДЛЯ МУЖЧИН / Кольца для члена,2634
wolt,Стирка и уборка / Уход за вещами,Стирка и уборка / Уход за вещами,2599
wolt,ДИЕТИЧЕСКИЕ ТОВАРЫ 🏃‍♀️,ДИЕТИЧЕСКИЕ ТОВАРЫ 🏃‍♀️,2586
